α,p
0.11,0.52
0.12,0.11
0.12,0.12
0.12,0.13
0.12,0.14
0.12,0.15
0.12,0.16
0.12,0.17
0.12,0.18
0.12,0.19
0.12,0.2
0.12,0.21
0.12,0.22
0.12,0.23
0.12,0.24
0.12,0.25
0.12,0.26
0.12,0.27
0.12,0.28
0.12,0.29
0.12,0.3
0.12,0.31
0.12,0.32
0.12,0.33
0.12,0.34
0.12,0.35
0.12,0.36
0.12,0.37
0.12,0.38
0.12,0.39
0.12,0.4
0.12,0.41
0.12,0.42
0.12,0.43
0.13,0.1
0.13,0.11
0.13,0.12
0.13,0.13
0.13,0.14
0.13,0.15
0.13,0.16
0.13,0.17
0.13,0.18
0.13,0.19
0.13,0.2
0.13,0.21
0.13,0.22
0.13,0.23
0.13,0.24
0.13,0.25
0.13,0.26
0.13,0.27
0.13,0.28
0.13,0.29
0.13,0.3
0.13,0.31
0.13,0.32
0.13,0.33
0.13,0.34
0.13,0.35
0.13,0.36
0.14,0.1
0.14,0.11
0.14,0.12
0.14,0.13
0.14,0.14
0.14,0.15
0.14,0.16
0.14,0.17
0.14,0.18
0.14,0.19
0.14,0.2
0.14,0.21
0.14,0.22
0.14,0.23
0.14,0.24
0.14,0.25
0.14,0.26
0.14,0.27
0.14,0.28
0.14,0.29
0.14,0.3
0.14,0.31
0.14,0.32
0.15,0.09
0.15,0.1
0.15,0.11
0.15,0.12
0.15,0.13
0.15,0.14
0.15,0.15
0.15,0.16
0.15,0.17
0.15,0.18
0.15,0.19
0.15,0.2
0.15,0.21
0.15,0.22
0.15,0.23
0.15,0.24
0.15,0.25
0.15,0.26
0.15,0.27
0.15,0.28
